,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-11-18,594.71,595.07,584.715,590.4071,590.4071,653500,653500,-4.3,-0.72352912,590.06,"November 18, 24",-0.0072352912
1,2024-11-15,593.36,595.14,587.09,593.54,593.54,2006211,2006211,0.18,0.03033572,592.2825,"November 15, 24",0.0003033572
2,2024-11-14,600.0,601.53,586.24,588.61,588.61,1670500,1670500,-11.39,-1.9,594.095,"November 14, 24",-0.019
3,2024-11-13,594.63,603.55,592.65,594.22,594.22,1763195,1763195,-0.41,-0.06895044,596.2625,"November 13, 24",-0.0006895044
4,2024-11-12,598.05,602.09,591.47,592.59,592.59,2392900,2392900,-5.46,-0.91297,596.05,"November 12, 24",-0.0091297
5,2024-11-11,598.9,607.15,596.17,602.34,602.34,2510802,2510802,3.44,0.57439,601.14,"November 11, 24",0.0057439
6,2024-11-08,586.42,595.15,581.3,589.26,589.26,2714000,2714000,2.84,0.48429,588.0325,"November 08, 24",0.0048429
7,2024-11-07,590.0,595.0,581.52,582.17,582.17,4475600,4475600,-7.83,-1.33,587.1725,"November 07, 24",-0.0133
8,2024-11-06,567.3,598.61,566.1,595.98,595.98,8042841,8042841,28.68,5.06,581.9975,"November 06, 24",0.0506
9,2024-11-05,513.0,527.46,512.6,526.96,526.96,2169936,2169936,13.96,2.72,520.005,"November 05, 24",0.0272
10,2024-11-04,518.0,518.05,510.51,511.47,511.47,1798045,1798045,-6.53,-1.26,514.5075,"November 04, 24",-0.0126
11,2024-11-01,520.0,526.64,517.04,519.35,519.35,1625284,1625284,-0.65,-0.125,520.7575,"November 01, 24",-0.00125
12,2024-10-31,522.44,525.0,514.53,517.79,517.79,2061700,2061700,-4.65,-0.89005,519.94,"October 31, 24",-0.0089005
13,2024-10-30,523.4,530.79,523.07,524.4,524.4,1441947,1441947,1.0,0.19106,525.415,"October 30, 24",0.0019106
14,2024-10-29,521.18,527.24,521.0,524.28,524.28,1281786,1281786,3.1,0.5948,523.425,"October 29, 24",0.005948
15,2024-10-28,515.4,524.59,514.98,523.58,523.58,1687386,1687386,8.18,1.59,519.6375,"October 28, 24",0.0159
16,2024-10-25,528.05,528.8,510.74,512.6,512.6,1633203,1633203,-15.45,-2.93,520.0475,"October 25, 24",-0.0293
17,2024-10-24,519.0,525.0,518.2,524.5,524.5,2058200,2058200,5.5,1.06,521.675,"October 24, 24",0.0106
18,2024-10-23,515.8,520.0,513.4,517.2,517.2,1263200,1263200,1.4,0.27142,516.6,"October 23, 24",0.0027142
19,2024-10-22,515.61,519.63,512.94,518.3,518.3,1588000,1588000,2.69,0.52171,516.62,"October 22, 24",0.0052171
20,2024-10-21,528.0,529.85,517.0,517.8,517.8,1752100,1752100,-10.2,-1.93,523.1625,"October 21, 24",-0.0193
21,2024-10-18,529.39,530.77,526.87,528.5,528.5,1779315,1779315,-0.89,-0.16812,528.8825,"October 18, 24",-0.0016812
22,2024-10-17,531.24,535.29,528.23,529.0,529.0,2123514,2123514,-2.24,-0.42165,530.94,"October 17, 24",-0.0042165
23,2024-10-16,530.0,536.22,525.98,529.86,529.86,2649018,2649018,-0.14,-0.02641509,530.515,"October 16, 24",-0.0002641509
24,2024-10-15,538.8,540.51,515.51,522.38,522.38,4525400,4525400,-16.42,-3.05,529.3,"October 15, 24",-0.0305
25,2024-10-14,517.65,523.07,515.51,522.75,522.75,2174900,2174900,5.1,0.98522,519.745,"October 14, 24",0.0098522
26,2024-10-11,508.0,517.97,507.8,516.3,516.3,2409700,2409700,8.3,1.63,512.5175,"October 11, 24",0.0163
27,2024-10-10,506.31,506.8,499.59,503.72,503.72,1309042,1309042,-2.59,-0.51154,504.105,"October 10, 24",-0.0051154
28,2024-10-09,498.2,506.27,495.25,505.18,505.18,1695949,1695949,6.98,1.4,501.225,"October 09, 24",0.014
29,2024-10-08,497.0,498.34,492.78,496.57,496.57,1296762,1296762,-0.43,-0.08651911,496.1725,"October 08, 24",-0.0008651911
30,2024-10-07,494.63,499.01,490.79,494.62,494.62,1173326,1173326,-0.01,-0.00202171,494.7625,"October 07, 24",-2.02171e-05
31,2024-10-04,495.64,496.31,486.0,495.16,495.16,1721821,1721821,-0.48,-0.09684448,493.2775,"October 04, 24",-0.0009684448
32,2024-10-03,489.93,490.51,484.2,486.1,486.1,1290719,1290719,-3.83,-0.78174,487.685,"October 03, 24",-0.0078174
33,2024-10-02,491.17,494.86,487.95,491.99,491.99,1445116,1445116,0.82,0.16695,491.4925,"October 02, 24",0.0016695
34,2024-10-01,494.58,494.58,484.61,490.17,490.17,1528600,1528600,-4.4,-0.89167,490.985,"October 01, 24",-0.0089167
35,2024-09-30,494.89,496.52,488.9,495.11,495.11,1603079,1603079,0.22,0.04445432,493.855,"September 30, 24",0.0004445432
36,2024-09-27,498.97,505.4,495.86,498.51,498.51,1420298,1420298,-0.46,-0.09218991,499.685,"September 27, 24",-0.0009218991
37,2024-09-26,494.0,498.4,492.48,496.92,496.92,1378145,1378145,2.92,0.59109,495.45,"September 26, 24",0.0059109
38,2024-09-25,498.5,502.0,490.4,491.14,491.14,1763943,1763943,-7.36,-1.48,495.51,"September 25, 24",-0.0148
39,2024-09-24,497.59,499.56,494.1,498.02,498.02,1035466,1035466,0.43,0.08641653,497.3175,"September 24, 24",0.0008641653
40,2024-09-23,498.21,501.4,495.22,497.41,497.41,953200,953200,-0.8,-0.16057,498.06,"September 23, 24",-0.0016057
41,2024-09-20,500.19,502.05,495.48,498.43,498.43,4452617,4452617,-1.76,-0.35187,499.0375,"September 20, 24",-0.0035187
42,2024-09-19,494.74,506.41,493.46,503.83,503.83,3060700,3060700,9.09,1.84,499.61,"September 19, 24",0.0184
43,2024-09-18,485.4,492.99,481.77,484.58,484.58,1699500,1699500,-0.82,-0.16893,486.185,"September 18, 24",-0.0016893
44,2024-09-17,488.0,489.73,481.8,485.39,485.39,1444900,1444900,-2.61,-0.53484,486.23,"September 17, 24",-0.0053484
45,2024-09-16,481.43,487.38,479.49,485.16,485.16,1500456,1500456,3.73,0.77478,483.365,"September 16, 24",0.0077478
46,2024-09-13,475.99,482.1,475.5,478.99,478.99,1794645,1794645,3.0,0.63027,478.145,"September 13, 24",0.0063027
47,2024-09-12,471.3,474.34,465.4,474.06,474.06,1482200,1482200,2.76,0.58561,471.275,"September 12, 24",0.0058561
48,2024-09-11,463.98,471.89,457.48,471.17,471.17,2426500,2426500,7.19,1.55,466.13,"September 11, 24",0.0155
49,2024-09-10,489.13,489.2,461.57,467.13,467.13,3583100,3583100,-22.0,-4.5,476.7575,"September 10, 24",-0.045
50,2024-09-09,485.53,494.28,483.39,488.57,488.57,1714200,1714200,3.04,0.62612,487.9425,"September 09, 24",0.0062612
51,2024-09-06,486.6,495.41,477.06,479.61,479.61,1995600,1995600,-6.99,-1.44,484.67,"September 06, 24",-0.0144
52,2024-09-05,493.58,495.77,483.07,487.88,487.88,1828331,1828331,-5.7,-1.15,490.075,"September 05, 24",-0.0115
53,2024-09-04,486.7,496.2,486.7,490.64,490.64,1509436,1509436,3.94,0.80953,490.06,"September 04, 24",0.0080953
54,2024-09-03,507.47,509.7,485.4,487.46,487.46,2373600,2373600,-20.01,-3.94,497.5075,"September 03, 24",-0.0394
55,2024-08-30,507.83,511.19,505.17,510.25,510.25,1839064,1839064,2.42,0.47654,508.61,"August 30, 24",0.0047654
56,2024-08-29,506.0,513.24,501.14,510.1,507.1,1566300,1566300,4.1,0.81028,507.62,"August 29, 24",0.0081028
57,2024-08-28,506.6,508.37,498.47,503.33,500.37,1568100,1568100,-3.27,-0.64548,504.1925,"August 28, 24",-0.0064548
58,2024-08-27,507.84,511.48,506.59,507.26,504.28,977917,977917,-0.58,-0.11421,508.2925,"August 27, 24",-0.0011421
59,2024-08-26,512.34,513.5,505.32,507.87,504.88,1084335,1084335,-4.47,-0.87247,509.7575,"August 26, 24",-0.0087247
60,2024-08-23,502.75,512.44,499.85,509.42,506.42,1751832,1751832,6.67,1.33,506.115,"August 23, 24",0.0133
61,2024-08-22,497.0,499.7,494.79,497.75,494.82,944020,944020,0.75,0.15091,497.31,"August 22, 24",0.0015091
62,2024-08-21,499.5,500.78,494.03,496.46,493.54,917100,917100,-3.04,-0.60861,497.6925,"August 21, 24",-0.0060861
