,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-11-18,184.3,186.17,182.8993,185.06,185.06,1811768,1811768,0.76,0.41237113,184.71,"November 18, 24",0.0041237113
1,2024-11-15,184.52,185.8,182.33,183.74,183.74,8967129,8967129,-0.78,-0.42272,184.0975,"November 15, 24",-0.0042272
2,2024-11-14,188.66,189.59,186.71,187.05,187.05,7804318,7804318,-1.61,-0.85339,188.0025,"November 14, 24",-0.0085339
3,2024-11-13,189.0,191.77,188.79,189.63,189.63,5695426,5695426,0.63,0.33333,189.7975,"November 13, 24",0.0033333
4,2024-11-12,188.54,190.61,187.2,189.58,189.58,6629900,6629900,1.04,0.55161,188.9825,"November 12, 24",0.0055161
5,2024-11-11,191.05,191.5,187.84,189.13,189.13,5973638,5973638,-1.92,-1.0,189.88,"November 11, 24",-0.01
6,2024-11-08,186.26,190.16,186.26,189.25,189.25,8520419,8520419,2.99,1.61,187.9825,"November 08, 24",0.0161
7,2024-11-07,181.08,186.67,180.54,186.33,186.33,7759400,7759400,5.25,2.9,183.655,"November 07, 24",0.029
8,2024-11-06,178.52,182.1,177.42,181.24,181.24,11085000,11085000,2.72,1.52,179.82,"November 06, 24",0.0152
9,2024-11-05,170.47,171.89,170.32,171.78,171.78,5456800,5456800,1.31,0.76846,171.115,"November 05, 24",0.0076846
10,2024-11-04,170.31,170.48,168.73,169.59,169.59,4804405,4804405,-0.72,-0.42276,169.7775,"November 04, 24",-0.0042276
11,2024-11-01,170.15,172.27,169.1,170.02,170.02,5680600,5680600,-0.13,-0.07640317,170.385,"November 01, 24",-0.0007640317
12,2024-10-31,170.52,170.88,167.4,167.84,167.84,9477500,9477500,-2.68,-1.57,169.16,"October 31, 24",-0.0157
13,2024-10-30,173.98,176.16,172.79,174.56,174.56,5822500,5822500,0.58,0.33337,174.3725,"October 30, 24",0.0033337
14,2024-10-29,172.29,174.02,172.29,173.43,173.43,4122913,4122913,1.14,0.66168,173.0075,"October 29, 24",0.0066168
15,2024-10-28,174.05,174.17,172.14,172.42,172.42,4330000,4330000,-1.62,-0.93651,173.195,"October 28, 24",-0.0093651
16,2024-10-25,174.78,176.29,173.1,173.52,173.52,3674717,3674717,-1.26,-0.72091,174.4225,"October 25, 24",-0.0072091
17,2024-10-24,173.32,174.95,172.91,174.38,174.38,3488036,3488036,1.06,0.61159,173.89,"October 24, 24",0.0061159
18,2024-10-23,174.5,176.07,173.01,173.1,173.1,4830414,4830414,-1.4,-0.80229,174.17,"October 23, 24",-0.0080229
19,2024-10-22,175.45,175.85,174.28,175.31,175.31,5510114,5510114,-0.14,-0.07979481,175.2225,"October 22, 24",-0.0007979481
