,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2024-11-18,84.82,84.85,83.66,84.295,84.295,8952892,8952892,-0.525,-0.61895779,84.27,"November 18, 24",-0.0061895779
1,2024-11-15,84.53,84.78,83.94,84.25,84.25,17370602,17370602,-0.28,-0.33124,84.375,"November 15, 24",-0.0033124
2,2024-11-14,85.03,85.76,84.34,84.47,84.47,15740732,15740732,-0.56,-0.65859,84.9,"November 14, 24",-0.0065859
3,2024-11-13,84.99,85.79,84.77,85.5,85.5,12802622,12802622,0.51,0.60007,85.2625,"November 13, 24",0.0060007
4,2024-11-12,84.5,85.53,84.5,84.99,84.99,12860200,12860200,0.49,0.57988,84.88,"November 12, 24",0.0057988
5,2024-11-11,84.95,85.41,84.12,84.21,84.21,10433200,10433200,-0.74,-0.8711,84.6725,"November 11, 24",-0.008711
6,2024-11-08,84.28,85.42,84.23,84.83,84.83,14396543,14396543,0.55,0.65259,84.69,"November 08, 24",0.0065259
7,2024-11-07,83.72,84.39,83.42,83.85,83.85,12665800,12665800,0.13,0.15528,83.845,"November 07, 24",0.0015528
8,2024-11-06,85.14,85.54,82.06,83.44,83.44,19974038,19974038,-1.7,-2.0,84.045,"November 06, 24",-0.02
9,2024-11-05,82.68,83.77,82.51,83.68,83.68,10612500,10612500,1.0,1.21,83.16,"November 05, 24",0.0121
10,2024-11-04,82.2,82.91,82.0,82.45,82.45,11731043,11731043,0.25,0.30414,82.39,"November 04, 24",0.0030414
11,2024-11-01,82.53,82.53,81.54,82.19,82.19,12181833,12181833,-0.34,-0.41197,82.1975,"November 01, 24",-0.0041197
12,2024-10-31,81.29,82.44,81.22,81.95,81.95,15539000,15539000,0.66,0.81191,81.725,"October 31, 24",0.0081191
13,2024-10-30,81.6,81.83,81.3,81.39,81.39,9268824,9268824,-0.21,-0.25735,81.53,"October 30, 24",-0.0025735
14,2024-10-29,82.67,82.86,81.67,81.7,81.7,9682403,9682403,-0.97,-1.17,82.225,"October 29, 24",-0.0117
15,2024-10-28,82.75,83.08,82.47,82.75,82.75,7990200,7990200,0.0,0.0,82.7625,"October 28, 24",0.0
16,2024-10-25,83.2,83.3,82.44,82.51,82.51,8959412,8959412,-0.69,-0.82933,82.8625,"October 25, 24",-0.0082933
17,2024-10-24,82.96,83.32,82.58,83.04,83.04,11645900,11645900,0.08,0.09643202,82.975,"October 24, 24",0.0009643202
18,2024-10-23,81.89,83.34,81.8,83.27,83.27,13058244,13058244,1.38,1.69,82.575,"October 23, 24",0.0169
19,2024-10-22,81.11,82.23,80.83,82.02,82.02,12240149,12240149,0.91,1.12,81.5475,"October 22, 24",0.0112
20,2024-10-21,81.23,81.55,80.72,80.81,80.81,9750400,9750400,-0.42,-0.51705,81.0775,"October 21, 24",-0.0051705
